x,y
-2.5,0.9878612717
-2.278714436,0.9878612717
-2.278714436,0.987283237
-2.046891465,0.987283237
-2.046891465,0.9855491329
-1.820337197,0.9855491329
-1.820337197,0.9895953757
-1.588514226,0.9895953757
-1.588514226,0.9924855491
-1.367228662,0.9924855491
-1.367228662,0.9815028902
-1.13540569,0.9815028902
-1.13540569,0.9838150289
-0.9088514226,0.9838150289
-0.9088514226,0.9878612717
-0.6822971549,0.9878612717
-0.6822971549,0.9895953757
-0.4557428872,0.9895953757
-0.4557428872,0.987283237
-0.2291886196,0.987283237
-0.2291886196,0.9913294798
0.002634351949,0.9913294798
0.002634351949,0.9907514451
0.2291886196,0.9907514451
0.2291886196,0.9867052023
0.4557428872,0.9867052023
0.4557428872,0.9901734104
0.6822971549,0.9901734104
0.6822971549,0.9913294798
0.9088514226,0.9913294798
0.9088514226,0.9832369942
1.140674394,0.9832369942
1.140674394,0.9809248555
1.361959958,0.9809248555
1.361959958,0.9924855491
1.593782929,0.9924855491
1.593782929,0.9901734104
1.820337197,0.9901734104
1.820337197,0.9855491329
2.046891465,0.9855491329
2.046891465,0.9884393064
2.273445732,0.9884393064
2.273445732,0.9901734104
2.5,0.9901734104
