85_eff,77_eff,70_eff,60_eff,pt
0.01842699616,0.008458098282,0.004551785816,0.002106863327,20
0.01858193382,0.008387573978,0.004551785816,0.002089296131,25
0.01584893192,0.007214094354,0.003981071706,0.001873817423,30
0.01571678225,0.007214094354,0.003981071706,0.001873817423,35
0.01433387578,0.006470071662,0.003570485492,0.001752412586,40
0.01433387578,0.006416123684,0.003570485492,0.001752412586,50
0.01340518239,0.006153056587,0.003481915135,0.001666549363,60
0.01340518239,0.006153056587,0.003481915135,0.001666549363,70
0.01318256739,0.006524473245,0.003786010536,0.002037468528,85
0.01318256739,0.006524473245,0.003786010536,0.002037468528,95
0.0132934089,0.006256963714,0.003630780548,0.001827335039,110
0.01318256739,0.006204792647,0.003600506807,0.001827335039,125
0.01340518239,0.006362625528,0.003395541877,0.001598219273,140
0.01340518239,0.006309573445,0.003367229575,0.001584893192,155
0.01421435877,0.007214094354,0.004551785816,0.002349141033,175
0.01433387578,0.007214094354,0.004551785816,0.002349141033,190
0.01482207788,0.007976606753,0.005292201404,0.003149066401,210
0.01482207788,0.007976606753,0.005292201404,0.003175544345,230
0.01482207788,0.007976606753,0.005248074602,0.003175544345,250
