85_eff,77_eff,70_eff,60_eff,pt
0.3280952931,0.1887991349,0.09375620069,0.02511886432,20
0.3280952931,0.1887991349,0.09375620069,0.02488857318,25
0.3467368505,0.1905460718,0.09036494737,0.02466039337,30
0.3467368505,0.1905460718,0.09036494737,0.02466039337,35
0.3531831698,0.1786487575,0.08317637711,0.02558585887,40
0.3531831698,0.1786487575,0.08317637711,0.02558585887,50
0.349945167,0.1674942876,0.07870457897,0.02466039337,60
0.349945167,0.1674942876,0.07870457897,0.02466039337,70
0.349945167,0.1629296033,0.07726805851,0.02488857318,85
0.3564511334,0.1629296033,0.07726805851,0.02488857318,95
0.3435579479,0.1584893192,0.0758577575,0.02421029047,110
0.3435579479,0.1584893192,0.0751622894,0.02443430553,125
0.3404081897,0.1570362804,0.0758577575,0.0260615355,140
0.3372873087,0.1570362804,0.0758577575,0.0260615355,155
0.33419504,0.1541700453,0.06854882265,0.02249054606,175
0.3280952931,0.1527566058,0.06854882265,0.02269864852,190
0.3250872974,0.1629296033,0.0758577575,0.02654605562,210
0.3250872974,0.1629296033,0.0751622894,0.02654605562,230
0.3250872974,0.1629296033,0.07726805851,0.02654605562,250
