x,y
-2.5,0.9537572254
-2.278714436,0.9537572254
-2.278714436,0.9595375723
-2.046891465,0.9595375723
-2.046891465,0.9537572254
-1.820337197,0.9537572254
-1.820337197,0.9531791908
-1.588514226,0.9531791908
-1.588514226,0.9497109827
-1.367228662,0.9497109827
-1.367228662,0.9589595376
-1.13540569,0.9589595376
-1.13540569,0.9485549133
-0.9088514226,0.9485549133
-0.9088514226,0.9439306358
-0.6822971549,0.9439306358
-0.6822971549,0.9543352601
-0.4557428872,0.9543352601
-0.4557428872,0.9462427746
-0.2291886196,0.9462427746
-0.2291886196,0.7774566474
0.002634351949,0.7774566474
0.002634351949,0.798265896
0.2291886196,0.798265896
0.2291886196,0.9450867052
0.4557428872,0.9450867052
0.4557428872,0.9549132948
0.6822971549,0.9549132948
0.6822971549,0.9468208092
0.9088514226,0.9468208092
0.9088514226,0.9497109827
1.140674394,0.9497109827
1.140674394,0.9595375723
1.361959958,0.9595375723
1.361959958,0.9485549133
1.593782929,0.9485549133
1.593782929,0.950867052
1.820337197,0.950867052
1.820337197,0.9537572254
2.046891465,0.9537572254
2.046891465,0.9606936416
2.273445732,0.9606936416
2.273445732,0.9554913295
2.5,0.9554913295
